Removed Member From Class: ClassName=M2FS FLS Data Formatter 8_14_2012 Member=TEST POINT 4
Change Component Library : Designator=R10 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R11 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R12 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R13 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R14 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R15 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R16 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R17 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R18 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R19 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R20 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R21 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R22 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R23 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Change Component Library : Designator=R24 Old Library=* New Library=FLS Data Formatter 8_14_2012.SCHLIB
Added Member To Class: ClassName=M2FS FLS Data Formatter 8_14_2012 Member=Component TP8 IO1
Added Member To Class: ClassName=M2FS FLS Data Formatter 8_14_2012 Member=Component TP9 IO6
Added Member To Class: ClassName=M2FS FLS Data Formatter 8_14_2012 Member=Component TP10 IO4
Added Member To Class: ClassName=M2FS FLS Data Formatter 8_14_2012 Member=Component TP11 IO2
